a,p,e,u,w,Edot,Ldot,EdotH,EdotI,LdotH,LdotI,timing,job
0.99,1.4982381599429109,0.07481770044544296,0.0002467198171342,0.5470541566592572,0.0942105904256346,0.2545289168497309,-0.008869121625271516,0.1030797120509069,-0.02395662447683625,0.27848554132656717,4451.934637413011,27.0
0.99,1.5041901864413887,0.08358450460398432,0.0002467198171342,0.5782172325201155,0.09451221947180573,0.25483499805065446,-0.008877496830023531,0.10338971630182928,-0.02393021457421515,0.2787652126248715,4355.000301222026,26.0
0.99,1.5105674563374976,0.09274285047359113,0.0002467198171342,0.6090716206982713,0.0948235718453858,0.25514625894274545,-0.008883867213526239,0.10370743905891225,-0.023896465190112612,0.27904272413285863,5962.671901252121,0.0
0.99,1.5173443029370086,0.10223951223630603,0.0002467198171342,0.6394955530196147,0.0951425857260418,0.25546111849527525,-0.008888043170253997,0.10403062889629569,-0.023855294878426185,0.2793164133737012,4490.021083868982,23.0
0.99,1.5244858069914293,0.1120146561862404,0.0002467198171342,0.6693689601226457,0.09546719964490115,0.2557782409277657,-0.008889913899933785,0.10435711354483522,-0.023806860565340895,0.279585101493109,4590.939662040968,21.0
0.99,1.5319478424992516,0.12200242941317298,0.0002467198171342,0.6985739453173903,0.09579535857353168,0.2560964811693389,-0.008889449392508743,0.10468480796604086,-0.02375155316077852,0.27984803433011535,4808.3934340170235,20.0
0.99,1.5396774065534493,0.13213164983509745,0.0002467198171342,0.7269952498697734,0.09612500743891778,0.25641480155710716,-0.00888669800685661,0.1050117054457751,-0.023689981572179254,0.28010478312928744,4862.953880337009,18.0
0.99,1.5476132226832093,0.14232658807289258,0.0002467198171342,0.7545207078751857,0.09645408424971902,0.2567321960604159,-0.00888178025914435,0.10533586450886419,-0.023622947112512387,0.28035514317292703,7471.488115340006,17.0
0.99,1.5556865941265172,0.15250783018110803,0.0002467198171342,0.7810416889260653,0.09678050033548373,0.25704758592528054,-0.008874879827632659,0.10565538016311721,-0.02355141116703962,0.28059899709231967,7772.901777688996,19.0
0.99,1.5638224737217536,0.16259320893762863,0.0002467198171342,0.8064535268264882,0.09710212336524537,0.25735972943759633,-0.008866232791284304,0.10596835615653008,-0.023476459019532287,0.28083618845713076,8993.796378246974,22.0
