a,p,e,u,w,Edot,Ldot,EdotH,EdotI,LdotH,LdotI,timing,job
0.99,1.4854219320426887,0.05508121615993337,0.0,0.46938775510204084,0.09351869914001901,0.253805753981331,-0.008841587959318775,0.102360287099338,-0.02399290813111328,0.27779866211244564,1118.7230921234004,613.0
0.99,1.4885213467629521,0.059975010412328195,0.0,0.4897959183673469,0.09369179280667357,0.2539896855387745,-0.008849571088026868,0.10254136389470106,-0.02398706587701123,0.2779767514157871,834.0819252226502,587.0
0.99,1.4918086600106824,0.06507705122865473,0.0,0.5102040816326531,0.09387119761796178,0.254178068500599,-0.008857073729013685,0.10272827134697611,-0.02397871449817761,0.278156782998775,1845.7338071959093,569.0
0.99,1.4952892902195225,0.07038733860891296,0.0,0.5306122448979592,0.09405671228511386,0.25437063654224185,-0.008864007189935904,0.1029207194750504,-0.023967648564107987,0.27833828510634695,1094.0624274276197,545.0
0.99,1.4989685956689438,0.07590587255310285,0.0,0.5510204081632653,0.09424812531856433,0.2545670979488024,-0.008870286054830426,0.10311841137339489,-0.023953673603435047,0.2785207715522395,1529.5022345781326,525.0
0.99,1.5028518524271288,0.08163265306122448,0.0,0.5714285714285714,0.0944452649981442,0.2547672746055143,-0.008875828971723742,0.10332109396986786,-0.02393660808428293,0.2787038826897999,2018.4374797604978,499.0
0.99,1.5069442335622463,0.0875676801332778,0.0,0.5918367346938775,0.0946479795910057,0.2549710437919342,-0.008880558876021067,0.10352853846702692,-0.023916283809680364,0.2788873276016125,1261.7030786452815,476.0
0.99,1.511250789778115,0.0937109537692628,0.0,0.6122448979591837,0.0948561352970175,0.2551783307937494,-0.008884403766712328,0.10374053906372943,-0.023892547902103926,0.27907087869585595,2187.4725451273844,454.0
0.99,1.5157764315959017,0.10006247396917951,0.0,0.6326530612244898,0.09506963808548285,0.25538916725170124,-0.008887296821509783,0.10395693490699347,-0.023865263006512726,0.2792544302582157,1196.268379881978,432.0
0.99,1.5205259132093312,0.10662224073302788,0.0,0.6530612244897959,0.0952884225447573,0.2556036565602508,-0.008889176924963237,0.1041775994697208,-0.023834308498728474,0.2794379650589778,1436.773112732917,405.0
0.99,1.5255038180819473,0.113390254060808,0.0,0.673469387755102,0.09551241316622684,0.25582186706816246,-0.008889988744904905,0.104402401911132,-0.023799580680049583,0.27962144774821507,2184.526819731109,384.0
0.99,1.5307145463582685,0.12036651395251978,0.0,0.6938775510204082,0.09574165052157056,0.25604417778509025,-0.008889682863054051,0.10463133338462463,-0.023760993031633888,0.27980517081672046,1894.6615279042162,360.0
0.99,1.5361623041209111,0.12755102040816327,0.0,0.7142857142857143,0.09597607434440224,0.2562706807991849,-0.008888215743636046,0.10486429008803738,-0.023718476079363785,0.2799891568785487,1473.056724942755,338.0
0.99,1.5418510945051471,0.13494377342773844,0.0,0.7346938775510204,0.09621580602624051,0.256501963299376,-0.008885549734530134,0.10510135576077163,-0.023671977364255064,0.2801739406636323,1414.3987715430558,314.0
0.99,1.5477847106568714,0.1425447730112453,0.0,0.7551020408163265,0.09646085080066893,0.25673826324248666,-0.008881652675736828,0.10534250347640609,-0.02362146045433517,0.2803597236968224,1837.186640911037,295.0
0.99,1.5539667304974563,0.15035401915868388,0.0,0.7755102040816326,0.09671133679684508,0.25698016530040924,-0.008876497727332885,0.10558783452417798,-0.02356690444663288,0.28054706974704186,1661.3714575916529,270.0
0.99,1.5604005132372814,0.15837151187005413,0.0,0.7959183673469388,0.0969673916361926,0.25722823477272677,-0.00887006284006054,0.105837454476253,-0.023508302717532667,0.2807365374902632,1809.3075161501765,249.0
0.99,1.5670891975610022,0.16659725114535612,0.0,0.8163265306122449,0.09722911754228679,0.257482948833127,-0.008862330329218503,0.10609144787150578,-0.023445661785212204,0.2809286106183405,1749.2802853733301,225.0
0.99,1.5740357013908137,0.17503123698458978,0.0,0.8367346938775511,0.09749676844213352,0.2577451904516219,-0.008853286146104058,0.10635005458823728,-0.023378999548623994,0.2811241900002494,3429.958224439062,204.0
0.99,1.581242723120361,0.18367346938775508,0.0,0.8571428571428571,0.09777036359127729,0.258015206712839,-0.00884291900816288,0.10661328259944033,-0.023308343066682922,0.2813235497795222,2624.412773238,180.0
0.99,1.588712744200994,0.19252394835485212,0.0,0.8775510204081632,0.09805022653904999,0.258294055420463,-0.008831220223753704,0.1068814467628057,-0.023233728462832937,0.28152778388330035,1867.4308700114489,161.0
0.99,1.5964480329538224,0.2015826738858809,0.0,0.8979591836734694,0.09833658900123711,0.2585825333719149,-0.008818181658524434,0.10715477065976167,-0.023155195327838236,0.28173772869975117,1762.6295844060005,139.0
0.99,1.6044506494758721,0.21084964598084133,0.0,0.9183673469387755,0.09862954126194072,0.2588810515847191,-0.008803795428985777,0.1074333366909282,-0.023072786517066034,0.28195383810178476,1920.9320687260479,114.0
